condition,run,mean,skewness,large_fraction
classical,0,4031.9666666666667,-2.157277648379582,0.8666666666666667
classical,1,4680.0,0.0,1.0
classical,2,4343.966666666666,-3.4743980067866436,0.9333333333333333
classical,3,4173.7,-2.666669943970587,0.9
classical,4,4398.366666666667,-3.474408444149382,0.9333333333333333
classical,5,4390.766666666666,-3.4743997200497043,0.9333333333333333
classical,6,4330.3,-3.47439682095754,0.9333333333333333
classical,7,4360.633333333333,-3.4743962187020756,0.9333333333333333
classical,8,4249.9,-2.6666666666666643,0.9
classical,9,4332.633333333333,-3.4743962196598934,0.9333333333333333
classical,10,4725.0,0.0,1.0
classical,11,4376.8,-3.4744034895352143,0.9333333333333333
classical,12,4192.3,-2.6666666666666656,0.9
classical,13,4257.1,-2.666666666666668,0.9
classical,14,4410.066666666667,-3.474396144861519,0.9333333333333333
classical,15,4221.1,-2.666666666666666,0.9
classical,16,4058.2,-2.157279869588636,0.8666666666666667
classical,17,4217.766666666666,-2.6666702691737556,0.9
classical,18,4702.0,0.0,1.0
classical,19,4721.0,0.0,1.0
classical,20,4222.933333333333,-2.6666667227747274,0.9
classical,21,4565.6,-5.19946946895745,0.9666666666666667
classical,22,4574.3,-5.199469468957453,0.9666666666666667
classical,23,4338.466666666666,-3.4744009267973697,0.9333333333333333
classical,24,4670.0,0.0,1.0
classical,25,4421.266666666666,-3.4743961448615153,0.9333333333333333
classical,26,3871.233333333333,-1.788854794302431,0.8333333333333334
classical,27,4196.533333333334,-2.6666841455689467,0.9
classical,28,4071.1,-2.1572783382963925,0.8666666666666667
classical,29,4381.166666666667,-3.4743962180113175,0.9333333333333333
classical,30,4535.866666666667,-5.1994694689574565,0.9666666666666667
classical,31,4398.866666666667,-3.4743961448615126,0.9333333333333333
classical,32,4421.266666666666,-3.474396144861515,0.9333333333333333
classical,33,4392.366666666667,-3.474396217638622,0.9333333333333333
classical,34,4667.0,0.0,1.0
classical,35,4551.6,-5.199469468957452,0.9666666666666667
classical,36,4586.866666666667,-5.199469468957452,0.9666666666666667
classical,37,4371.833333333333,-3.474396218324094,0.9333333333333333
classical,38,4531.766666666666,-5.199469468957454,0.9666666666666667
classical,39,4752.0,0.0,1.0
classical,40,4388.6,-3.4743961448615153,0.9333333333333333
classical,41,4602.366666666667,-5.199469468957456,0.9666666666666667
classical,42,4591.733333333334,-5.199469468957451,0.9666666666666667
classical,43,3935.133333333333,-1.788865610197217,0.8333333333333334
classical,44,3733.1,-1.500005950358943,0.8
classical,45,4519.266666666666,-5.199469468957451,0.9666666666666667
classical,46,4362.466666666666,-3.4743961448615166,0.9333333333333333
classical,47,4378.333333333333,-3.4743961448615157,0.9333333333333333
classical,48,4010.4333333333334,-2.1572796729669315,0.8666666666666667
classical,49,4655.0,0.0,1.0
classical,50,4363.4,-3.4743961448615144,0.9333333333333333
classical,51,4545.3,-5.199469468957449,0.9666666666666667
classical,52,4714.0,0.0,1.0
classical,53,4355.933333333333,-3.474396144861518,0.9333333333333333
classical,54,4532.8,-5.199469468957448,0.9666666666666667
classical,55,4217.733333333334,-2.6666694245752844,0.9
classical,56,4510.5,-5.199469468957453,0.9666666666666667
classical,57,4529.866666666667,-5.1994694689574565,0.9666666666666667
classical,58,4554.033333333334,-5.199469468957457,0.9666666666666667
classical,59,4233.766666666666,-2.6666667225019443,0.9
classical,60,4342.866666666667,-3.474396144861518,0.9333333333333333
classical,61,4554.966666666666,-5.199469468957452,0.9666666666666667
classical,62,4570.466666666666,-5.199469468957445,0.9666666666666667
classical,63,4128.733333333334,-2.666672542465611,0.9
classical,64,4349.4,-3.474396144861518,0.9333333333333333
classical,65,4556.9,-5.199469468957451,0.9666666666666667
classical,66,4425.0,-3.474396144861517,0.9333333333333333
classical,67,4535.633333333333,-5.1994694689574565,0.9666666666666667
classical,68,4498.933333333333,-5.199469468957457,0.9666666666666667
classical,69,4535.733333333334,-5.199469468957449,0.9666666666666667
classical,70,4562.7,-5.199469468957453,0.9666666666666667
classical,71,4521.133333333333,-5.199469468957453,0.9666666666666667
classical,72,4260.766666666666,-2.6666667217962496,0.9
classical,73,4203.1,-2.666666666666668,0.9
classical,74,3929.366666666667,-1.788854416775828,0.8333333333333334
classical,75,4398.866666666667,-3.4743961448615157,0.9333333333333333
classical,76,4341.533333333334,-3.474415280768574,0.9333333333333333
classical,77,4190.633333333333,-2.666667065684944,0.9
classical,78,4547.233333333334,-5.199469468957453,0.9666666666666667
classical,79,4226.666666666667,-2.6666947331883586,0.9
classical,80,4524.033333333334,-5.199469468957455,0.9666666666666667
classical,81,4567.533333333334,-5.199469468957452,0.9666666666666667
classical,82,4537.9,-5.199469468957449,0.9666666666666667
classical,83,4418.5,-3.474396216779994,0.9333333333333333
classical,84,4492.133333333333,-5.199469468957446,0.9666666666666667
classical,85,4025.8333333333335,-2.1572775307866277,0.8666666666666667
classical,86,4197.733333333334,-2.666666723450608,0.9
classical,87,4382.133333333333,-3.4743964373983665,0.9333333333333333
classical,88,4399.133333333333,-3.474397307564167,0.9333333333333333
classical,89,4034.1,-2.1572857667840455,0.8666666666666667
classical,90,4645.0,0.0,1.0
classical,91,4402.6,-3.474396144861518,0.9333333333333333
classical,92,4011.133333333333,-2.157277664896373,0.8666666666666667
classical,93,4695.0,0.0,1.0
classical,94,4219.3,-2.666666666666667,0.9
classical,95,4171.4,-2.66669208225826,0.9
classical,96,4189.633333333333,-2.66666672367045,0.9
classical,97,4388.733333333334,-3.4743973120222833,0.9333333333333333
classical,98,4245.433333333333,-2.6666667221814064,0.9
classical,99,4578.2,-5.199469468957451,0.9666666666666667
quantum,0,4705.0,0.0,1.0
quantum,1,4439.033333333334,-3.4743962161159727,0.9333333333333333
quantum,2,4575.266666666666,-5.199469468957454,0.9666666666666667
quantum,3,4726.0,0.0,1.0
quantum,4,4134.233333333334,-2.1572776404678464,0.8666666666666667
quantum,5,4612.033333333334,-5.199469468957455,0.9666666666666667
quantum,6,4253.5,-2.6666666666666665,0.9
quantum,7,4278.0,-2.6666678155303756,0.9
quantum,8,4462.333333333333,-3.474396144861515,0.9333333333333333
quantum,9,4551.1,-5.199469468957455,0.9666666666666667
quantum,10,4780.0,0.0,1.0
quantum,11,4426.333333333333,-3.4744064901587994,0.9333333333333333
quantum,12,4417.533333333334,-3.4743961448615184,0.9333333333333333
quantum,13,4623.6,-5.199469468957455,0.9666666666666667
quantum,14,4617.2,-5.19946946895745,0.9666666666666667
quantum,15,4606.233333333334,-5.199469468957454,0.9666666666666667
quantum,16,4575.266666666666,-5.199469468957454,0.9666666666666667
quantum,17,4767.0,0.0,1.0
quantum,18,4619.733333333334,-5.199469468957452,0.9666666666666667
quantum,19,4786.0,0.0,1.0
quantum,20,4445.533333333334,-3.47439614486152,0.9333333333333333
quantum,21,4647.766666666666,-5.19946946895745,0.9666666666666667
quantum,22,4303.9,-2.6666666666666674,0.9
quantum,23,4261.9,-2.6666711325750576,0.9
quantum,24,4422.2,-3.474396144861516,0.9333333333333333
quantum,25,4476.333333333333,-3.474396144861517,0.9333333333333333
quantum,26,4264.3,-2.666666666666667,0.9
quantum,27,4568.566666666667,-5.199469468957458,0.9666666666666667
quantum,28,4752.0,0.0,1.0
quantum,29,4473.566666666667,-3.4743962150197665,0.9333333333333333
quantum,30,4112.5,-2.1572775289400483,0.8666666666666667
quantum,31,4771.0,0.0,1.0
quantum,32,4473.566666666667,-3.4743962150197665,0.9333333333333333
quantum,33,4444.766666666666,-3.4743979232284468,0.9333333333333333
quantum,34,4744.0,0.0,1.0
quantum,35,4447.433333333333,-3.474396215846973,0.9333333333333333
quantum,36,4476.466666666666,-3.47439726669066,0.9333333333333333
quantum,37,4747.0,0.0,1.0
quantum,38,4285.966666666666,-2.6666667211496025,0.9
quantum,39,4628.433333333333,-5.199469468957453,0.9666666666666667
quantum,40,4460.6,-3.4743972746910914,0.9333333333333333
quantum,41,4810.0,0.0,1.0
quantum,42,4658.4,-5.19946946895745,0.9666666666666667
quantum,43,4633.366666666667,-5.199469468957452,0.9666666666666667
quantum,44,4778.0,0.0,1.0
quantum,45,4440.866666666667,-3.4743961448615197,0.9333333333333333
quantum,46,4430.6,-3.4743961448615166,0.9333333333333333
quantum,47,4446.5,-3.474396215876788,0.9333333333333333
quantum,48,4551.266666666666,-5.19946946895745,0.9666666666666667
quantum,49,4241.866666666667,-2.6666667222888196,0.9
quantum,50,4758.0,0.0,1.0
quantum,51,4268.3,-2.6666711212713685,0.9
quantum,52,4768.0,0.0,1.0
quantum,53,4423.366666666667,-3.4743996658867227,0.9333333333333333
quantum,54,4459.533333333334,-3.474396144861516,0.9333333333333333
quantum,55,4136.766666666666,-2.1572775284436965,0.8666666666666667
quantum,56,3961.6666666666665,-1.7888595225035075,0.8333333333333334
quantum,57,4285.9,-2.6666666666666656,0.9
quantum,58,4623.6,-5.199469468957455,0.9666666666666667
quantum,59,4621.666666666667,-5.199469468957451,0.9666666666666667
quantum,60,4434.333333333333,-3.4743961448615193,0.9333333333333333
quantum,61,4613.933333333333,-5.199469468957448,0.9666666666666667
quantum,62,4632.3,-5.199469468957453,0.9666666666666667
quantum,63,4587.833333333333,-5.199469468957454,0.9666666666666667
quantum,64,4121.5,-2.1572814731497205,0.8666666666666667
quantum,65,4609.1,-5.199469468957454,0.9666666666666667
quantum,66,4469.833333333333,-3.4743962151370504,0.9333333333333333
quantum,67,4585.9,-5.199469468957455,0.9666666666666667
quantum,68,4453.233333333334,-3.474399618768513,0.9333333333333333
quantum,69,4756.0,0.0,1.0
quantum,70,4459.533333333334,-3.4743961448615175,0.9333333333333333
quantum,71,4607.166666666667,-5.199469468957454,0.9666666666666667
quantum,72,4311.166666666667,-2.66666672051427,0.9
quantum,73,4756.0,0.0,1.0
quantum,74,4626.5,-5.199469468957452,0.9666666666666667
quantum,75,4793.0,0.0,1.0
quantum,76,4734.0,0.0,1.0
quantum,77,4565.633333333333,-5.19946946895745,0.9666666666666667
quantum,78,4604.266666666666,-5.199469468957445,0.9666666666666667
quantum,79,4475.4,-3.474396144861512,0.9333333333333333
quantum,80,4742.0,0.0,1.0
quantum,81,4808.0,0.0,1.0
quantum,82,4751.0,0.0,1.0
quantum,83,4482.966666666666,-3.474396773920277,0.9333333333333333
quantum,84,4273.433333333333,-2.666666885957841,0.9
quantum,85,4075.366666666667,-2.157278566663131,0.8666666666666667
quantum,86,4418.033333333334,-3.474412381291005,0.9333333333333333
quantum,87,4592.833333333333,-5.199469468957452,0.9666666666666667
quantum,88,4456.2,-3.4743961448615153,0.9333333333333333
quantum,89,4409.133333333333,-3.4743961448615157,0.9333333333333333
quantum,90,4399.866666666667,-3.4743961448615135,0.9333333333333333
quantum,91,4782.0,0.0,1.0
quantum,92,4255.766666666666,-2.6666735281699596,0.9
quantum,93,4593.666666666667,-5.199469468957453,0.9666666666666667
quantum,94,4583.0,-5.199469468957452,0.9666666666666667
quantum,95,4583.033333333334,-5.199469468957452,0.9666666666666667
quantum,96,4723.0,0.0,1.0
quantum,97,4779.0,0.0,1.0
quantum,98,4785.0,0.0,1.0
quantum,99,4619.733333333334,-5.199469468957454,0.9666666666666667
mimic,0,4866.0,0.0,1.0
mimic,1,4725.133333333333,-5.199469468957456,0.9666666666666667
mimic,2,4876.0,0.0,1.0
mimic,3,4882.0,0.0,1.0
mimic,4,4554.966666666666,-5.19946946895745,0.9666666666666667
mimic,5,4720.266666666666,-5.1994694689574485,0.9666666666666667
mimic,6,4330.1,-3.474402221839504,0.9333333333333333
mimic,7,4516.333333333333,-5.199469468957449,0.9666666666666667
mimic,8,4564.7,-5.199469468957453,0.9666666666666667
mimic,9,4875.0,0.0,1.0
mimic,10,4961.0,0.0,1.0
mimic,11,4689.0,0.0,1.0
mimic,12,4710.6,-5.199469468957451,0.9666666666666667
mimic,13,4730.0,0.0,1.0
mimic,14,4725.0,0.0,1.0
mimic,15,4890.0,0.0,1.0
mimic,16,4682.0,0.0,1.0
mimic,17,4886.0,0.0,1.0
mimic,18,4720.333333333333,-5.199469468957454,0.9666666666666667
mimic,19,4801.5,-5.199469468957452,0.9666666666666667
mimic,20,4692.0,0.0,1.0
mimic,21,4902.0,0.0,1.0
mimic,22,4574.3,-5.199469468957453,0.9666666666666667
mimic,23,4338.266666666666,-3.4743964433470422,0.9333333333333333
mimic,24,4558.466666666666,-3.4743961448615184,0.9333333333333333
mimic,25,4737.0,0.0,1.0
mimic,26,4490.5,-5.199469468957452,0.9666666666666667
mimic,27,4662.0,0.0,1.0
mimic,28,4792.766666666666,-5.199469468957451,0.9666666666666667
mimic,29,4537.733333333334,-5.199469468957447,0.9666666666666667
mimic,30,4379.266666666666,-3.4743961448615166,0.9333333333333333
mimic,31,4910.0,0.0,1.0
mimic,32,4579.133333333333,-5.19946946895745,0.9666666666666667
mimic,33,4706.0,0.0,1.0
mimic,34,4884.0,0.0,1.0
mimic,35,4727.066666666667,-5.199469468957453,0.9666666666666667
mimic,36,4745.0,0.0,1.0
mimic,37,4894.0,0.0,1.0
mimic,38,4531.766666666666,-5.199469468957454,0.9666666666666667
mimic,39,4900.0,0.0,1.0
mimic,40,4545.3,-5.199469468957449,0.9666666666666667
mimic,41,4966.0,0.0,1.0
mimic,42,4732.833333333333,-5.199469468957448,0.9666666666666667
mimic,43,4721.0,0.0,1.0
mimic,44,4872.0,0.0,1.0
mimic,45,4892.0,0.0,1.0
mimic,46,4717.366666666667,-5.1994694689574565,0.9666666666666667
mimic,47,4703.833333333333,-5.1994694689574565,0.9666666666666667
mimic,48,4721.233333333334,-5.1994694689574565,0.9666666666666667
mimic,49,4499.866666666667,-5.19946946895745,0.9666666666666667
mimic,50,4799.533333333334,-5.199469468957455,0.9666666666666667
mimic,51,4545.3,-5.199469468957451,0.9666666666666667
mimic,52,4784.066666666667,-5.199469468957456,0.9666666666666667
mimic,53,4667.0,0.0,1.0
mimic,54,4532.733333333334,-5.199469468957447,0.9666666666666667
mimic,55,4373.933333333333,-3.4744008494738297,0.9333333333333333
mimic,56,4355.0,-3.474396144861517,0.9333333333333333
mimic,57,4373.7,-3.474396218261377,0.9333333333333333
mimic,58,4880.0,0.0,1.0
mimic,59,4739.6,-5.199469468957454,0.9666666666666667
mimic,60,4653.0,0.0,1.0
mimic,61,4723.166666666667,-5.199469468957454,0.9666666666666667
mimic,62,4728.0,0.0,1.0
mimic,63,4880.0,0.0,1.0
mimic,64,4194.133333333333,-2.6666667235481576,0.9
mimic,65,4714.0,0.0,1.0
mimic,66,4736.7,-5.199469468957453,0.9666666666666667
mimic,67,4790.833333333333,-5.19946946895745,0.9666666666666667
mimic,68,4737.666666666667,-5.199469468957454,0.9666666666666667
mimic,69,4875.0,0.0,1.0
mimic,70,4717.4,-5.199469468957443,0.9666666666666667
mimic,71,4677.0,0.0,1.0
mimic,72,4576.266666666666,-5.199469468957454,0.9666666666666667
mimic,73,4790.866666666667,-5.199469468957453,0.9666666666666667
mimic,74,4891.0,0.0,1.0
mimic,75,4815.966666666666,-5.199469468957451,0.9666666666666667
mimic,76,4788.9,-5.199469468957445,0.9666666666666667
mimic,77,4856.0,0.0,1.0
mimic,78,4874.0,0.0,1.0
mimic,79,4538.533333333334,-5.199469468957449,0.9666666666666667
mimic,80,4876.0,0.0,1.0
mimic,81,4991.0,0.0,1.0
mimic,82,4780.2,-5.19946946895745,0.9666666666666667
mimic,83,4576.233333333334,-5.199469468957451,0.9666666666666667
mimic,84,4492.2,-5.199469468957453,0.9666666666666667
mimic,85,4885.0,0.0,1.0
mimic,86,4508.633333333333,-5.1994694689574565,0.9666666666666667
mimic,87,4794.7,-5.199469468957454,0.9666666666666667
mimic,88,4887.0,0.0,1.0
mimic,89,4654.0,0.0,1.0
mimic,90,4696.5,-5.199469468957452,0.9666666666666667
mimic,91,4887.0,0.0,1.0
mimic,92,4319.6,-3.4743964459335577,0.9333333333333333
mimic,93,4695.0,0.0,1.0
mimic,94,4776.333333333333,-5.19946946895745,0.9666666666666667
mimic,95,4634.0,0.0,1.0
mimic,96,4842.0,0.0,1.0
mimic,97,4888.0,0.0,1.0
mimic,98,4961.0,0.0,1.0
mimic,99,4895.0,0.0,1.0
